Bin,Mean_Predicted_Probability,Observed_Healthy_Weight_Frequency,Calibration_Gap
1,0.28578228899773134,0.1276595744680851,-0.15812271452964624
2,0.3340109586715698,0.08602150537634409,-0.24798945329522573
3,0.3625456985606942,0.08602150537634409,-0.27652419318435006
4,0.38536346311210307,0.12903225806451613,-0.25633120504758694
5,0.4099918472510512,0.22580645161290322,-0.18418539563814798
6,0.4432688198422873,0.17204301075268819,-0.2712258090895991
7,0.48938580994964925,0.3333333333333333,-0.15605247661631594
8,0.5584256386244169,0.34408602150537637,-0.21433961711904048
9,0.6314502608391547,0.3870967741935484,-0.2443534866456063
10,0.725492129934595,0.5425531914893617,-0.18293893844523335
